codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,temp_max_cuiaba_c,temp_max_brasil_c,umidade_minima_pct,max_dias_consecutivos_40c,max_focos_calor_mt,meses_em_crise
5220405,São Simão,GO,52.0,522040,SAO SIMAO,,,5.75,3482.0,3193215.72,140.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220454,Senador Canedo,GO,52.0,522045,SENADOR CANEDO,,,5.75,17884.0,26940567.36,768.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220504,Serranópolis,GO,52.0,522050,SERRANOPOLIS,,,5.75,1020.0,1454333.04,50.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220603,Silvânia,GO,52.0,522060,SILVANIA,,,5.75,6856.0,5165698.42,165.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220686,Simolândia,GO,52.0,522068,SIMOLANDIA,,,5.75,910.0,825054.72,42.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220702,Sítio d'Abadia,GO,52.0,522070,SITIO D'ABADIA,,,5.75,190.0,171776.9,15.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221007,Taquaral de Goiás,GO,52.0,522100,TAQUARAL DE GOIAS,,,5.75,510.0,929189.34,30.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221080,Teresina de Goiás,GO,52.0,522108,TERESINA DE GOIAS,,,5.75,292.0,380390.04,19.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221197,Terezópolis de Goiás,GO,52.0,522119,TEREZOPOLIS DE GOIAS,,,5.75,888.0,1423413.32,68.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221304,Três Ranchos,GO,52.0,522130,TRES RANCHOS,,,5.75,360.0,680835.68,27.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221403,Trindade,GO,52.0,522140,TRINDADE,,,5.75,27206.0,42020675.72,966.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221452,Trombas,GO,52.0,522145,TROMBAS,,,5.75,618.0,569050.78,15.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221502,Turvânia,GO,52.0,522150,TURVANIA,,,5.75,1342.0,1187849.94,44.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221551,Turvelândia,GO,52.0,522155,TURVELANDIA,,,5.75,742.0,669388.22,34.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221577,Uirapuru,GO,52.0,522157,UIRAPURU,,,5.75,302.0,335195.44,24.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221601,Uruaçu,GO,52.0,522160,URUACU,,,5.75,13446.0,10455365.1,312.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221700,Uruana,GO,52.0,522170,URUANA,,,5.75,2554.0,3282247.3,124.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221809,Urutaí,GO,52.0,522180,URUTAI,,,5.75,310.0,665748.58,28.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221858,Valparaíso de Goiás,GO,52.0,522185,VALPARAISO DE GOIAS,,,5.75,23916.0,30422749.88,861.0,,,42.6,42.6,10.0,7.0,2124.0,2
5221908,Varjão,GO,52.0,522190,VARJAO,,,5.75,430.0,792327.5,33.0,,,42.6,42.6,10.0,7.0,2124.0,2
